Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
636;Kuwait;-27.82893739;-11.85596128;-25.65299205;42.31867976;-8.628936399;-32.46796409;-63.63533358;68.34606501
83;Kyrgyzstan;12.35275744;-1.913356412;11.88002829;17.79922369;-58.72290246;20.63525839;18.01434719;-19.41026759
740;Hong Kong;1.148662252;-16.68758949;34.63278734;-17.81724614;41.31612613;73.99415921;-3.474546509;-74.96846234
696;Cambodia;51.01368629;-14.35936073;-18.98859174;-4.285292787;12.89786378;-9.184649992;-13.02472934;-6.916161287
70;Albania;19.71075535;-46.29678065;-63.98767071;30.20110631;-5.52163226;-6.681062814;50.78332844;67.1152884
302;Cameroon;-10.0807365;-2.819807912;21.14686213;15.08481295;-7.236616585;7.047064609;-16.04750722;23.72077005
232;Mali;1990.063233;-76.18336322;351.4184195;193.6695149;-32.74410048;-56.96781854;-56.07178986;1233.005925
604;Lebanon;-27.41596096;-47.91077681;15.71490573;48.16469015;31.06880843;-63.46558475;-19.75488057;-9.165144094
436;Costa Rica;-18.62225951;-57.52548271;7.952104728;-15.31411656;-29.32910731;25.95960904;16.79872575;-33.34367541
676;Myanmar;26.74499153;-9.115801643;7.688768178;171.0357677;51.67455887;24.72032059;-7.283116787;-13.44317351
366;Mozambique;9.654477903;3.268296895;30.16005947;45.59947621;-36.51169061;-22.02863963;-2.329783569;-43.49939783
352;Tanzania;-21.13601661;9.466936575;-38.70909387;76.14599767;-15.20537745;-27.29383312;66.98927251;-22.77884036
824;Marshall Islands;-67.75332134;3803.601375;-48.31778327;202.9229314;-74.68362163;155.0257655;120.1121262;-13.7590604
958;Countries and territories not specified;-64.00176993;-44.26890872;92.16352937;365.4862447;-43.90083444;-79.07644971;1230.952608;33.3578878
660;Afghanistan;70.73963248;-57.49737998;-1.920798613;46.3395361;12.74815479;-2.284346467;13.49299839;7.947708372
804;New Zealand;31.4378051;-37.47865433;-2.896606008;-28.99927806;-17.4566778;17.96778677;-28.14404074;-17.7503027
280;Togo;-1.581233857;-81.4453966;-35.19843483;122.0602229;47.22979365;-41.12051137;3.14223784;133.1454088
24;Iceland;24.04865822;22.11630735;-10.11823947;16.66837582;-12.3569054;-6.223755631;-2.158750448;-12.87641741
456;Dominican Rep.;-7.174956889;-0.33979794;-21.59936288;21.68758445;-3.11053561;-2.565930592;1.395998064;28.07085665
355;Seychelles;424.4821733;71.72039103;-44.72000297;163.0531742;-32.92336225;-16.77219731;16.22260399;132.276816
314;Gabon;-83.7575377;6.815295579;-46.94429275;102.702582;137.815186;1.511972419;144.7720569;0.714662004
334;Ethiopia;8.927854869;-47.09759425;-7.889438985;0.675025303;1.606777611;30.42476242;-21.28122808;-49.90937085
